town,age_group,males_white_non_hispanic,males_black,males_am_indian,males_pac_islander,males_hispanic,females_white_non_hispanic,females_black,females_am_indian,females_pac_islander,females_hispanic
,40--44,255,3,0,1,2,267,3,0,0,2
,45--49,233,1,0,2,2,237,1,1,1,6
,50--54,212,1,0,0,5,194,2,0,1,3
,55--59,168,1,0,1,4,159,0,0,2,2
,60--64,113,0,1,2,0,108,0,0,0,4
,65--69,77,2,0,2,0,80,0,0,0,0
,70--74,82,0,0,0,0,93,0,0,1,0
,75--79,38,0,0,0,1,71,0,0,0,0
,80--84,44,0,0,0,0,35,0,0,0,0
,85+,16,0,0,0,0,40,0,0,0,0
Bozrah,0--4,56,0,3,2,4,60,1,1,2,3
,5--9,77,0,1,2,3,71,2,1,0,3
,10--14,86,0,0,0,1,74,1,1,1,4
,15--19,71,0,0,0,3,68,0,1,1,2
,20--24,45,0,0,0,1,42,0,1,0,1
,25--29,48,1,0,1,1,38,1,0,1,0
,30--34,86,0,1,0,1,82,1,1,0,2
,35--39,103,0,2,1,1,106,0,0,1,2
,40--44,108,0,1,0,3,112,0,1,1,2
,45--49,101,0,0,0,0,100,1,0,0,3
,50--54,92,4,1,0,2,76,0,0,0,0
,55--59,82,1,0,1,0,72,0,0,0,0
,60--64,41,0,1,0,0,47,0,0,1,0
,65--69,45,1,0,0,0,39,0,0,0,0
,70--74,36,0,0,0,0,42,0,0,0,0
,75--79,27,0,0,0,0,52,0,0,0,0
,80--84,26,0,0,0,0,24,0,0,0,1
,85+,13,0,0,0,0,26,0,0,0,0
Branford,0--4,672,10,3,50,45,678,19,1,47,29
,5--9,732,16,2,29,36,734,18,3,30,38
,10--14,848,17,4,31,31,774,19,0,24,31
,15--19,678,16,1,18,36,609,13,1,24,18
,20--24,497,7,0,15,36,484,7,0,23,28
,25--29,634,11,1,29,54,690,13,3,41,30
,30--34,872,26,1,53,32,980,26,0,50,42
,35--39,1037,20,0,50,41,1189,17,0,64,32
,40--44,1177,20,1,44,28,1298,20,0,35,28
,45--49,1068,20,3,27,14,1220,17,4,27,15
,50--54,991,13,1,16,21,1152,12,0,16,17
,55--59,766,9,0,13,4,892,14,0,18,7
,60--64,572,10,1,13,5,662,14,2,15,15
,65--69,487,12,0,7,6,573,10,1,7,5
,70--74,502,4,0,6,5,642,8,0,10,5
,75--79,441,3,0,5,4,604,2,0,3,0
,80--84,319,1,0,3,1,509,3,0,1,0
,85+,178,0,0,1,0,471,3,0,0,2
Bridgeport,0--4,1079,2127,20,240,2310,1030,2004,20,228,2248
,5--9,1013,2173,18,206,2414,928,2151,18,183,2315
,10--14,935,2063,19,143,2345,862,2032,24,158,2163
,15--19,1091,1936,13,229,2177,1031,1870,19,168,1953
,20--24,1499,1478,15,340,2159,1653,1733,25,292,2111
,25--29,1614,1402,15,388,1906,1643,1812,14,326,2025
,30--34,1701,1443,22,306,1825,1515,1895,26,243,1879
,35--39,1831,1553,15,191,1672,1526,2011,14,166,1849
,40--44,1700,1400,21,144,1378,1632,1811,21,162,1454
,45--49,1648,1176,11,153,1073,1487,1348,18,142,1137
,50--54,1406,985,8,126,904,1504,1297,14,125,1037
,55--59,1126,738,4,87,601,1259,943,11,81,780
,60--64,927,601,6,48,468,1137,796,4,57,603
,65--69,904,443,2,41,330,1157,582,4,41,403
,70--74,1004,294,3,23,208,1492,436,11,28,303
,75--79,1011,182,3,7,115,1602,344,2,19,229
,80--84,683,87,0,7,67,1380,194,1,7,135
,85+,490,66,1,3,58,1295,200,3,7,111
Bridgewater,0--4,32,1,0,1,0,44,0,0,0,0
,5--9,53,4,2,0,0,48,1,0,0,0
,10--14,73,2,0,0,1,63,1,0,0,0
,15--19,60,0,0,1,0,50,0,0,1,1
,20--24,24,0,0,0,1,32,0,0,1,0
,25--29,25,1,0,0,0,12,0,0,0,0
,30--34,44,0,0,0,1,41,1,0,0,1
,35--39,63,1,0,0,1,67,1,0,0,0
,40--44,81,0,0,0,0,90,0,1,2,1
,45--49,75,1,0,0,0,81,1,0,1,0
,50--54,85,1,0,1,0,105,1,0,1,0
,55--59,88,1,0,1,0,94,0,0,1,1
,60--64,67,1,0,0,0,48,0,0,2,0
,65--69,36,0,0,1,0,39,0,0,0,0
,70--74,39,0,0,0,1,28,0,0,0,0
,75--79,15,0,0,0,0,30,0,0,0,0
,80--84,10,0,0,0,0,19,0,0,0,0
,85+,13,0,0,0,0,11,0,0,0,0
Bristol,0--4,1601,83,6,43,201,1474,86,7,60,189
,5--9,1664,93,7,41,212,1591,94,5,25,195
,10--14,1723,66,11,41,198,1701,71,7,25,178
,15--19,1516,64,9,34,142,1440,62,9,33,137
,20--24,1386,64,3,30,126,1371,54,7,34,159
,25--29,1724,86,5,58,139,1785,63,9,74,142
,30--34,2159,84,9,61,153,2171,74,3,50,147
,35--39,2386,80,11,43,114,2346,68,7,45,127
,40--44,2430,69,4,44,94,2404,46,13,40,107
,45--49,1987,59,8,28,56,2002,51,8,35,74
,50--54,1696,41,0,17,54,1917,36,7,29,61
,55--59,1384,30,1,19,33,1457,37,2,10,37
,60--64,1018,25,1,15,22,1157,13,3,15,27
,65--69,929,8,4,7,17,1163,14,1,4,22
,70--74,914,11,1,5,9,1204,13,3,5,18
,75--79,751,3,0,1,7,1155,10,2,0,12
,80--84,528,4,0,3,5,881,7,0,1,4
,85+,318,0,0,0,5,868,7,2,2,4
Brookfield,0--4,447,2,2,8,21,484,9,0,28,17
,5--9,653,4,0,13,21,603,5,0,19,12
,10--14,646,6,1,19,16,551,4,0,13,22
,15--19,415,2,2,20,13,426,5,0,16,15
,20--24,232,2,2,6,12,247,2,0,9,11
,25--29,265,1,1,11,11,276,2,0,10,8
,30--34,421,9,0,8,16,476,5,0,19,16
,35--39,674,7,1,17,9,732,3,0,23,23
,40--44,691,7,0,17,19,732,6,1,28,14
,45--49,660,7,0,22,17,642,4,0,23,12
,50--54,570,4,1,17,16,654,7,0,14,15
,55--59,504,4,0,9,6,480,10,0,10,3
,60--64,325,5,0,5,4,335,2,0,7,6
,65--69,246,0,2,3,4,267,0,0,4,4
,70--74,208,0,0,1,2,222,0,0,7,3
,75--79,108,1,1,4,0,193,1,0,2,2
,80--84,74,1,0,0,1,144,2,0,1,1
,85+,55,1,0,0,0,122,0,0,0,1
Brooklyn,0--4,160,2,4,3,8,191,2,2,4,2
,5--9,237,3,2,3,5,229,2,3,1,7
,10--14,271,2,4,0,4,245,1,0,1,4
,15--19,228,3,0,5,5,208,1,0,0,5
,20--24,162,43,2,2,26,132,3,0,1,0
,25--29,177,34,3,3,24,176,2,4,2,6
,30--34,269,49,5,5,31,207,1,4,1,5
,35--39,296,38,8,1,16,283,5,2,2,6
,40--44,307,22,3,1,8,304,2,0,1,1
,45--49,243,12,1,2,6,253,2,1,1,1
,50--54,234,8,0,0,5,228,0,0,1,1
,55--59,193,3,1,0,4,206,0,2,0,1
,60--64,154,2,2,0,0,146,1,0,0,1
,65--69,106,1,0,0,1,120,0,0,0,2
,70--74,79,1,0,0,0,116,1,0,0,0
,75--79,90,0,0,0,0,120,2,0,0,1
,80--84,42,0,1,0,0,84,0,0,0,1
,85+,37,0,0,0,0,118,1,0,0,0
Burlington,0--4,312,6,0,4,5,265,1,0,5,7
,5--9,334,3,0,3,12,304,6,0,4,7
,10--14,346,3,1,4,7,318,2,1,4,2
,15--19,252,1,0,3,3,258,2,0,1,6
,20--24,124,2,0,1,2,113,0,0,3,1
,25--29,134,0,1,0,1,134,1,0,1,5
,30--34,279,4,0,4,5,313,2,0,7,3
,35--39,372,5,0,3,7,401,2,0,1,10
,40--44,404,5,0,2,6,461,1,0,1,4
,45--49,405,1,0,2,1,382,2,0,4,5
,50--54,357,2,0,1,3,351,0,0,0,5
,55--59,273,2,0,1,3,253,0,0,3,1
,60--64,146,0,0,0,0,116,0,0,3,1
,65--69,104,0,1,2,1,96,0,0,1,1
,70--74,76,0,0,2,0,77,0,0,0,0
,75--79,49,0,0,0,0,68,0,0,0,0
,80--84,21,0,0,1,0,41,0,0,0,0
,85+,24,0,0,0,0,34,0,0,0,0
Canaan,0--4,19,0,0,0,0,35,2,1,0,0
,5--9,22,0,0,0,2,38,0,0,0,0
,10--14,42,0,0,0,0,27,1,0,0,0
,15--19,40,2,0,0,0,44,0,0,0,0
,20--24,27,0,0,0,0,15,1,0,0,0
,25--29,12,1,0,0,0,17,1,0,0,0
,30--34,26,0,0,0,0,35,0,0,0,0
,35--39,39,0,0,0,0,45,1,0,1,0
,40--44,51,1,0,0,0,65,0,0,0,2
,45--49,51,0,0,0,0,49,0,0,0,0
,50--54,44,1,0,1,0,40,1,0,0,0
,55--59,31,0,0,0,0,28,0,0,0,0
,60--64,39,1,0,0,0,26,1,0,0,0
,65--69,25,1,0,1,0,28,2,0,0,0
,70--74,18,1,0,0,0,11,0,0,0,0
,75--79,12,0,0,0,0,20,0,0,0,0
,80--84,7,0,0,0,0,7,0,0,0,0
,85+,8,0,0,0,0,13,0,0,0,0
Canterbury,0--4,123,1,0,0,5,116,0,0,1,3
,5--9,167,3,2,1,3,139,1,0,0,1
,10--14,218,4,0,0,2,164,0,0,0,4
,15--19,200,2,3,0,5,169,1,1,0,6
,20--24,111,2,1,0,1,93,0,2,0,1
,25--29,94,0,0,0,1,115,1,1,2,0
,30--34,144,1,1,1,1,161,0,0,0,0
,35--39,209,0,0,0,2,206,1,2,0,5
,40--44,232,1,1,2,3,271,1,1,2,2
,45--49,237,2,1,1,2,212,0,1,0,1
,50--54,178,1,0,0,0,177,0,0,0,1
,55--59,138,0,0,0,0,125,0,0,0,1
,60--64,82,0,0,0,0,82,0,0,1,0
,65--69,54,1,0,3,0,62,1,0,3,1
,70--74,56,0,0,0,0,59,0,0,0,0
,75--79,37,0,0,0,0,54,0,0,0,0
,80--84,32,0,0,0,0,33,0,0,0,0
